ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalTherms,AverageTherms
90293,10,2018,COMMERCIAL,Y,,,
90293,10,2018,INDUSTRIAL,Y,,,
90293,10,2018,RESIDENTIAL,N,5353,111118,20.7581
90293,11,2018,COMMERCIAL,Y,,,
90293,11,2018,INDUSTRIAL,Y,,,
90293,11,2018,RESIDENTIAL,N,5358,140031,26.1349
90293,12,2018,COMMERCIAL,Y,,,
90293,12,2018,INDUSTRIAL,Y,,,
90293,12,2018,RESIDENTIAL,N,5347,194255,36.3297
90301,10,2018,COMMERCIAL,Y,,,
90301,10,2018,INDUSTRIAL,Y,,,
90301,10,2018,RESIDENTIAL,N,11209,197220,17.5948
90301,11,2018,COMMERCIAL,Y,,,
90301,11,2018,INDUSTRIAL,Y,,,
90301,11,2018,RESIDENTIAL,N,11208,218088,19.4582
90301,12,2018,COMMERCIAL,Y,,,
90301,12,2018,INDUSTRIAL,Y,,,
90301,12,2018,RESIDENTIAL,N,11212,309687,27.6210
90302,10,2018,COMMERCIAL,N,240,37945,158.1042
90302,10,2018,INDUSTRIAL,Y,,,
90302,10,2018,RESIDENTIAL,N,10537,196512,18.6497
90302,11,2018,COMMERCIAL,N,240,38452,160.2167
90302,11,2018,INDUSTRIAL,Y,,,
90302,11,2018,RESIDENTIAL,N,10535,203325,19.3000
90302,12,2018,COMMERCIAL,N,240,47330,197.2083
90302,12,2018,INDUSTRIAL,Y,,,
90302,12,2018,RESIDENTIAL,N,10539,297754,28.2526
90303,10,2018,COMMERCIAL,N,181,79027,436.6133
90303,10,2018,INDUSTRIAL,Y,,,
90303,10,2018,RESIDENTIAL,N,7622,129750,17.0231
90303,11,2018,COMMERCIAL,Y,,,
90303,11,2018,INDUSTRIAL,Y,,,
90303,11,2018,RESIDENTIAL,N,7628,159231,20.8745
90303,12,2018,COMMERCIAL,Y,,,
90303,12,2018,INDUSTRIAL,Y,,,
90303,12,2018,RESIDENTIAL,N,7631,248905,32.6176
90304,10,2018,COMMERCIAL,Y,,,
90304,10,2018,INDUSTRIAL,Y,,,
90304,10,2018,RESIDENTIAL,N,6107,120274,19.6944
90304,11,2018,COMMERCIAL,Y,,,
90304,11,2018,INDUSTRIAL,Y,,,
90304,11,2018,RESIDENTIAL,N,6107,136091,22.2844
90304,12,2018,COMMERCIAL,Y,,,
90304,12,2018,INDUSTRIAL,Y,,,
90304,12,2018,RESIDENTIAL,N,6107,177073,28.9951
90305,10,2018,COMMERCIAL,Y,,,
90305,10,2018,INDUSTRIAL,Y,,,
90305,10,2018,RESIDENTIAL,N,6012,110221,18.3335
90305,11,2018,COMMERCIAL,Y,,,
90305,11,2018,INDUSTRIAL,Y,,,
90305,11,2018,RESIDENTIAL,N,6005,132698,22.0979
90305,12,2018,COMMERCIAL,N,110,18278,166.1636
90305,12,2018,INDUSTRIAL,Y,,,
90305,12,2018,RESIDENTIAL,N,6010,288290,47.9684
90401,10,2018,COMMERCIAL,N,456,256725,562.9934
90401,10,2018,INDUSTRIAL,Y,,,
90401,10,2018,RESIDENTIAL,N,3651,78203,21.4196
90401,11,2018,COMMERCIAL,N,456,249969,548.1776
90401,11,2018,INDUSTRIAL,Y,,,
90401,11,2018,RESIDENTIAL,N,3651,85800,23.5004
90401,12,2018,COMMERCIAL,N,457,298554,653.2910
90401,12,2018,INDUSTRIAL,Y,,,
90401,12,2018,RESIDENTIAL,N,3653,99413,27.2141
90402,10,2018,COMMERCIAL,Y,,,
90402,10,2018,INDUSTRIAL,Y,,,
90402,10,2018,RESIDENTIAL,N,4894,235991,48.2205
90402,11,2018,COMMERCIAL,N,55,13510,245.6364
90402,11,2018,INDUSTRIAL,Y,,,
90402,11,2018,RESIDENTIAL,N,4893,272572,55.7065
90402,12,2018,COMMERCIAL,Y,,,
90402,12,2018,INDUSTRIAL,Y,,,
90402,12,2018,RESIDENTIAL,N,4899,456336,93.1488
90403,10,2018,COMMERCIAL,Y,334,138549,414.8174
90403,10,2018,INDUSTRIAL,Y,,,
90403,10,2018,RESIDENTIAL,N,12393,238092,19.2118
90403,11,2018,COMMERCIAL,N,279,115652,414.5233
90403,11,2018,INDUSTRIAL,Y,,,
